City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Warman,52.3168,-106.5679,3.2,78,40,11.5,CA,1611842732
Hilo,19.7297,-155.09,69.8,83,90,13.8,US,1611842743
Kununurra,-15.7667,128.7333,80.6,100,40,11.5,AU,1611843081
Kruisfontein,-34.0033,24.7314,78.01,47,0,8.01,ZA,1611843081
Nadadores,27.05,-101.6,46.99,32,100,4.34,MX,1611843081
Tasiilaq,65.6145,-37.6368,26.6,86,90,26.46,GL,1611843082
Punta Arenas,-53.15,-70.9167,48.2,71,75,24.16,CL,1611843082
Yellowknife,62.456,-114.3525,-23.01,76,40,4.61,CA,1611842962
Vitim,59.4511,112.5578,-36.08,79,57,3.62,RU,1611843082
Saint-Philippe,-21.3585,55.7679,86.0,62,90,10.36,RE,1611843082
Kapaa,22.0752,-159.319,73.4,78,90,21.85,US,1611843082
Maţāy,28.419,30.7792,64.96,27,0,10.63,EG,1611843083
Bondoukou,8.0333,-2.8,99.07,9,0,5.79,CI,1611843083
Saskylakh,71.9167,114.0833,-43.38,78,37,3.51,RU,1611843083
Tucson,32.2217,-110.9265,51.8,40,90,12.66,US,1611842876
Ushuaia,-54.8,-68.3,44.6,76,75,4.61,AR,1611842964
Amberley,39.2048,-84.428,24.01,80,90,7.94,US,1611843083
Mar del Plata,-38.0023,-57.5575,71.6,73,0,9.22,AR,1611843084
Abonnema,4.7084,6.7931,91.4,62,75,6.91,NG,1611843084
Andes,5.6561,-75.8788,61.0,91,67,1.72,CO,1611843069
Cidreira,-30.1811,-50.2056,76.35,73,68,3.09,BR,1611843084
Kavieng,-2.5744,150.7967,82.8,77,100,9.51,PG,1611843084
Qaanaaq,77.484,-69.3632,-10.28,68,0,9.13,GL,1611843084
Aksarka,66.5606,67.7975,-25.98,85,100,10.74,RU,1611843084
Sumbe,-11.2061,13.8437,86.0,62,20,10.36,AO,1611843085
Rikitea,-23.1203,-134.9692,78.91,68,16,2.64,PF,1611843085
Vaini,-21.2,-175.2,75.2,100,90,16.11,TO,1611843085
Puerto Ayora,-0.7393,-90.3518,78.8,83,40,10.36,EC,1611843085
Ilulissat,69.2167,-51.1,10.4,48,1,12.66,GL,1611843085
Arinos,-15.9169,-46.1056,83.86,44,46,5.28,BR,1611843086
Linhares,-19.3911,-40.0722,86.99,51,48,5.64,BR,1611843067
Baghdad,33.3406,44.4009,68.0,34,0,6.91,IQ,1611843081
Busselton,-33.65,115.3333,64.99,82,0,1.99,AU,1611843086
Sørland,67.667,12.6934,33.8,64,40,16.11,NO,1611843086
Kirkenær,60.4564,12.0582,17.01,92,40,2.21,NO,1611843086
Vanimo,-2.6741,141.3028,78.8,84,100,3.18,PG,1611843086
Khatanga,71.9667,102.5,-36.56,77,0,5.57,RU,1611843087
Mpika,-11.8343,31.4529,73.47,85,100,1.43,ZM,1611843087
Samarai,-10.6167,150.6667,81.12,79,100,10.29,PG,1611843087
Clearlake,38.9582,-122.6264,41.0,96,90,1.7,US,1611842868
Mataura,-46.1927,168.8643,48.0,76,92,8.99,NZ,1611843088
Greeley,40.4233,-104.7091,18.0,85,1,6.91,US,1611843088
Hobart,-42.8794,147.3294,57.2,67,90,4.61,AU,1611843088
Port Lincoln,-34.7333,135.8667,63.32,89,100,3.06,AU,1611843088
Yumen,40.2833,97.2,25.54,71,0,10.45,CN,1611843088
Praia da Vitória,38.7333,-27.0667,64.4,77,40,20.47,PT,1611843088
New Norfolk,-42.7826,147.0587,57.2,67,90,4.61,AU,1611843089
Hambantota,6.1241,81.1185,80.6,89,90,3.44,LK,1611843089
Atuona,-9.8,-139.0333,77.7,78,1,16.08,PF,1611843089
Korla,41.7597,86.1469,23.77,83,0,1.72,CN,1611843089
Kidal,18.4411,1.4078,87.12,10,0,15.86,ML,1611843089
Touros,-5.1989,-35.4608,87.8,55,40,16.11,BR,1611843090
Hasaki,35.7333,140.8333,36.0,100,75,8.05,JP,1611843090
Bluff,-46.6,168.3333,48.0,76,86,8.99,NZ,1611843090
Klaksvík,62.2266,-6.589,30.2,86,20,1.14,FO,1611843090
Ribeira Grande,38.5167,-28.7,62.6,94,40,14.97,PT,1611843090
Avarua,-21.2078,-159.775,78.8,83,75,6.91,CK,1611843091
Itacoatiara,-3.1431,-58.4442,81.19,79,99,3.09,BR,1611843091
Kashgar,39.4547,75.9797,30.2,47,0,4.47,CN,1611843091
Marsh Harbour,26.5412,-77.0636,75.27,81,53,24.76,BS,1611843091
Ribeira Brava,32.65,-17.0667,63.0,94,40,6.91,PT,1611843091
Brigantine,39.4101,-74.3646,30.0,54,40,21.85,US,1611843092
Rocha,-34.4833,-54.3333,83.25,31,100,4.76,UY,1611843092
Saint-Joseph,-21.3667,55.6167,86.0,62,90,10.36,RE,1611843092
Bethel,41.3712,-73.414,26.6,54,90,8.05,US,1611843092
Bathsheba,13.2167,-59.5167,82.4,57,40,21.85,BB,1611843092
Barrow,71.2906,-156.7887,-7.6,77,90,4.61,US,1611842816
Fortuna,40.5982,-124.1573,45.0,100,90,13.8,US,1611843093
Asău,46.4333,26.4,36.0,60,75,8.05,RO,1611843093
Yaring,6.8662,101.3689,77.29,83,16,13.44,TH,1611843093
Erenhot,43.6475,111.9767,6.06,83,9,9.19,CN,1611843093
Nikolskoye,59.7035,30.7861,33.8,86,75,6.71,RU,1611843093
Winnemucca,40.973,-117.7357,35.6,64,90,12.66,US,1611843094
San Francisco de Ojuera,14.7499,-88.1918,62.6,94,75,6.91,HN,1611843094
São Filipe,14.8961,-24.4956,78.12,53,73,8.25,CV,1611843094
Arraial do Cabo,-22.9661,-42.0278,89.6,55,0,13.8,BR,1611843094
Zenzeli,45.9241,47.0474,40.77,82,100,7.83,RU,1611843095
Jamestown,42.097,-79.2353,18.0,86,90,11.52,US,1611843095
Władysławowo,54.7909,18.4009,33.8,64,75,17.27,PL,1611843095
Waipawa,-41.4122,175.5153,57.2,72,90,17.27,NZ,1611843095
Thompson,55.7435,-97.8558,-29.2,68,1,2.3,CA,1611843095
Pangnirtung,66.1451,-65.7125,-7.6,77,1,3.44,CA,1611843095
Rafrāf,37.1904,10.1837,64.4,68,75,12.66,TN,1611843096
Menongue,-14.6585,17.691,72.61,72,88,7.74,AO,1611843096
Cabo San Lucas,22.8909,-109.9124,57.2,82,75,4.61,MX,1611842828
Severo-Kuril'sk,50.6789,156.125,28.78,94,90,18.88,RU,1611843096
Hong Kong,22.2855,114.1577,66.0,56,0,19.35,HK,1611842886
Provideniya,64.3833,-173.3,2.32,88,100,18.88,RU,1611843097
Chokurdakh,70.6333,147.9167,-16.44,88,100,6.62,RU,1611843097
Verkhnetulomskiy,68.6073,31.7962,3.2,85,0,4.47,RU,1611843097
Drammen,59.7439,10.2045,18.0,90,3,2.44,NO,1611843097
Albany,42.6001,-73.9662,21.99,57,32,4.0,US,1611842964
Maputo,-25.9653,32.5892,78.8,73,75,17.27,MZ,1611842813
Calawag,10.6697,119.5707,78.58,84,91,13.18,PH,1611843098
Waingapu,-9.6567,120.2641,79.39,82,100,10.51,ID,1611842850
Ancud,-41.8697,-73.8203,64.99,67,40,2.3,CL,1611843098
Naze,28.3667,129.4833,54.1,75,16,24.29,JP,1611843099
Cape Town,-33.9258,18.4232,75.2,43,0,17.27,ZA,1611842950
Mount Gambier,-37.8333,140.7667,73.4,68,90,14.97,AU,1611843099
Coari,-4.085,-63.1414,83.48,74,69,2.01,BR,1611843099
Pevek,69.7008,170.3133,-20.07,86,88,2.17,RU,1611843099
Faanui,-16.4833,-151.75,80.73,71,4,9.55,PF,1611843100
Samaná,19.2056,-69.3369,75.2,83,20,5.68,DO,1611843100
Sobolevo,54.4299,31.8996,28.9,99,100,6.31,RU,1611843100
Denpasar,-8.65,115.2167,84.2,74,40,10.36,ID,1611842862
Xichang,27.8964,102.2634,42.91,62,0,2.73,CN,1611843100
Deputatsky,69.3,139.9,-37.73,81,99,4.45,RU,1611843100
Upernavik,72.7868,-56.1549,-9.63,89,58,9.6,GL,1611843101
Banamba,13.55,-7.45,92.79,9,0,9.35,ML,1611843101
Bukama,-9.2,25.85,84.0,70,85,3.58,CD,1611842830
Shenjiamen,29.9576,122.298,40.59,69,0,22.77,CN,1611843101
Thaba-Tseka,-29.522,28.6084,61.99,72,86,2.37,LS,1611843101
Esperance,-33.8667,121.9,59.0,88,0,8.05,AU,1611843102
Mahébourg,-20.4081,57.7,82.4,69,40,10.36,MU,1611843102
Gīdolē,5.65,37.3667,78.35,20,64,1.01,ET,1611843102
Kayerkan,69.3497,87.7602,-33.2,78,0,4.41,RU,1611843102
Saldanha,-33.0117,17.9442,75.2,41,0,18.41,ZA,1611843102
Malinovoye Ozero,51.6753,79.7825,15.42,97,56,7.76,RU,1611843103
Codrington,-38.2667,141.9667,65.66,93,100,8.59,AU,1611843103
Ligayan,4.6533,119.4706,81.75,83,1,14.16,PH,1611843103
Airai,-8.9266,125.4092,61.83,100,100,3.83,TL,1611843103
Castro,-24.7911,-50.0119,70.57,80,100,4.59,BR,1611843103
Pirmasens,49.2015,7.6053,54.0,100,90,16.11,DE,1611843104
Farmington,36.7281,-108.2187,24.8,63,1,12.66,US,1611843104
Mahajanga,-15.7167,46.3167,87.8,70,20,11.5,MG,1611843104
Charters Towers,-20.1,146.2667,74.07,82,100,12.3,AU,1611843104
Hermanus,-34.4187,19.2345,73.99,57,0,5.01,ZA,1611843104
Yerbogachën,61.2767,108.0108,-38.92,80,22,6.51,RU,1611843104
Kaitangata,-46.2817,169.8464,46.99,86,90,5.01,NZ,1611843105
Susa,32.1942,48.2436,68.67,28,83,9.55,IR,1611843105
Saint Paul Harbor,57.79,-152.4072,33.8,86,90,4.61,US,1611843105
Bonavista,48.6499,-53.1147,28.99,93,100,2.3,CA,1611843105
Torbay,47.6666,-52.7314,30.0,93,90,9.22,CA,1611843105
Khanpur,28.6453,70.6567,55.33,36,0,1.23,PK,1611843105
Tiksi,71.6872,128.8694,-21.55,87,100,5.84,RU,1611843106
Zabul Province,32.25,67.25,36.79,66,0,10.83,AF,1611843106
Cherskiy,68.75,161.3,-26.61,85,100,2.68,RU,1611843106
Tsimmerbude,54.675,20.1347,32.0,93,75,8.95,RU,1611843106
Grand-Lahou,5.1367,-5.0242,84.15,70,67,7.58,CI,1611843106
Narsaq,60.9167,-46.05,44.6,31,75,23.02,GL,1611843107
Souillac,-20.5167,57.5167,82.4,69,40,10.36,MU,1611843107
Norman Wells,65.282,-126.8329,-25.6,75,75,3.44,CA,1611843107
Lebu,-37.6167,-73.65,57.52,81,100,3.4,CL,1611843107
Dikson,73.5069,80.5464,-30.41,80,65,8.19,RU,1611843107
Goderich,43.7501,-81.7165,19.4,79,99,21.85,CA,1611843107
Berlevåg,70.8578,29.0864,41.0,33,75,12.66,NO,1611843107
Eenhana,-17.4667,16.3333,91.4,38,40,8.05,NA,1611843108
Esim,4.8699,-2.2405,83.48,70,72,8.48,GH,1611843108
Dalvik,65.9702,-18.5286,-0.4,85,0,8.05,IS,1611843108
Dondo,-19.6094,34.7431,89.6,62,20,14.97,MZ,1611843108
Arnoldstein,46.5461,13.71,33.01,64,20,6.91,AT,1611843108
Aklavik,68.2191,-135.0107,-25.6,75,75,4.61,CA,1611843109
Nanortalik,60.1432,-45.2371,28.09,91,100,7.61,GL,1611843109
Vestmanna,62.1564,-7.1664,30.2,86,20,1.14,FO,1611843109
Yanam,16.7333,82.2167,78.8,78,1,6.91,IN,1611843109
Kaeo,-35.1,173.7833,64.0,80,100,8.99,NZ,1611843109
Montepuez,-13.1256,38.9997,80.35,85,83,2.8,MZ,1611843072
Hirara,24.8,125.2833,60.51,75,100,31.74,JP,1611842829
Guhāgar,17.4842,73.1929,72.97,68,41,7.54,IN,1611843110
Uberlândia,-18.9186,-48.2772,78.8,50,20,6.91,BR,1611843110
Imeni Poliny Osipenko,52.4201,136.4853,-6.32,91,100,4.41,RU,1611843110
Caravelas,-17.7125,-39.2481,86.09,53,59,8.28,BR,1611843110
Lompoc,34.6391,-120.4579,53.6,87,90,10.36,US,1611843111
Cabadiangan,9.7531,122.4739,76.98,83,85,11.97,PH,1611843012
Kyshtovka,56.555,76.6271,21.9,97,100,14.41,RU,1611843111
Geraldton,-28.7667,114.6,73.4,78,0,24.16,AU,1611843111
Abu Samrah,35.3029,37.1841,50.86,63,100,12.01,SY,1611843111
Kyren,51.6828,102.1408,9.07,80,23,5.5,RU,1611843111
Ilo,-17.6394,-71.3375,75.2,69,75,4.61,PE,1611842895
Big Spring,32.2504,-101.4787,32.0,80,1,8.19,US,1611842910
Half Moon Bay,37.4636,-122.4286,51.01,93,90,11.5,US,1611843112
Sakakah,29.9697,40.2064,68.0,24,0,8.05,SA,1611843112
Colmenar Viejo,40.6591,-3.7676,57.0,100,90,3.91,ES,1611843112
Mwingi,-0.9344,38.0601,78.46,57,10,8.34,KE,1611843113
Ponta Delgada,37.7333,-25.6667,66.0,94,75,9.22,PT,1611843113
Ucluelet,48.9329,-125.5528,36.0,92,78,4.59,CA,1611843113
Prieska,-29.6641,22.7474,88.23,12,0,7.56,ZA,1611843113
Meulaboh,4.1363,96.1285,78.4,82,93,3.67,ID,1611843113
Steinbach am Taunus,50.1667,8.5667,44.01,100,75,5.75,DE,1611842968
Mago,53.2514,140.1822,-5.24,91,100,2.95,RU,1611843113
Tuktoyaktuk,69.4541,-133.0374,-27.09,85,4,7.11,CA,1611843114
Diffa,13.3154,12.6113,88.74,10,0,16.33,NE,1611843114
Hithadhoo,-0.6,73.0833,80.56,76,100,10.42,MV,1611843114
Longyearbyen,78.2186,15.6401,1.4,66,20,27.63,SJ,1611843114
Taldan,53.6667,124.8,-34.67,80,29,3.13,RU,1611843115
Ulaangom,49.9811,92.0667,-12.08,88,83,0.18,MN,1611843115
Yarim,14.298,44.3779,62.44,29,0,4.16,YE,1611843115
Bredasdorp,-34.5322,20.0403,73.4,46,0,11.5,ZA,1611843115
Buala,-8.145,159.5921,81.1,81,100,8.16,SB,1611843115
Broome,42.2506,-75.833,18.0,67,90,17.27,US,1611843115
Isangel,-19.55,169.2667,79.07,84,98,12.26,VU,1611843116
Blankenberge,51.3131,3.1323,53.01,83,97,8.01,BE,1611843116
Beringovskiy,63.05,179.3167,1.99,93,100,19.39,RU,1611843116
Erciş,39.0287,43.3586,39.2,81,40,4.61,TR,1611843116
San Ramon,37.7799,-121.978,48.99,87,90,6.89,US,1611843116
Bawku,11.0616,-0.2417,99.07,8,0,9.04,GH,1611843116
Elliot,-31.3333,27.85,64.78,76,88,5.77,ZA,1611843117
Karad,17.2833,74.2,76.28,39,0,5.44,IN,1611843117
East London,-33.0153,27.9116,75.2,53,0,12.66,ZA,1611843117
Oktyabr'skiy,54.4815,53.471,17.24,95,100,8.59,RU,1611843117
George Town,5.4112,100.3354,78.8,88,40,2.3,MY,1611842976
Aquiraz,-3.9014,-38.3911,86.0,70,40,17.27,BR,1611842951
Tonj,7.2737,28.6822,99.45,15,100,7.65,SS,1611843118
Castries,13.9957,-61.0061,84.2,61,20,10.36,LC,1611843118
Mabaruma,8.2,-59.7833,83.01,59,19,7.9,GY,1611843118
Baruun-Urt,46.6806,113.2792,-12.57,86,72,11.88,MN,1611843119
Thinadhoo,0.5333,72.9333,81.41,71,100,13.78,MV,1611843119
Sakaraha,-22.9,44.5333,81.34,68,88,2.21,MG,1611843119
São João da Barra,-21.6403,-41.0511,89.6,43,0,4.61,BR,1611843119
Butaritari,3.0707,172.7902,81.09,80,81,17.16,KI,1611843119
Kedrovyy,56.1667,91.8167,-5.8,84,75,2.24,RU,1611843119
Ponta do Sol,32.6667,-17.1,63.0,94,40,6.91,PT,1611843119
Fairbanks,64.8378,-147.7164,-22.0,68,20,2.71,US,1611843109
Juegang,32.3174,121.1855,36.0,66,0,1.01,CN,1611843120
Port Elizabeth,-33.918,25.5701,77.0,44,0,10.36,ZA,1611843120
Pangody,65.85,74.4859,-29.96,84,100,14.92,RU,1611843121
Mukhen,48.1,136.1,-11.24,85,94,2.3,RU,1611843121
Tuatapere,-46.1333,167.6833,48.0,76,79,8.99,NZ,1611843121
Nālūt,30.3333,10.85,65.35,30,0,8.99,LY,1611843121
Rock Sound,24.9,-76.2,75.15,80,0,15.88,BS,1611843121
Porosozero,62.7191,32.727,18.54,98,73,5.01,RU,1611843122
Raudeberg,61.9875,5.1352,32.0,78,89,20.54,NO,1611843122
El Salvador,13.8333,-88.9167,82.4,68,0,9.22,SV,1611843122
Chivay,-15.6383,-71.6011,52.99,44,0,2.04,PE,1611843122
Bo Phloi,14.3236,99.5161,84.99,49,38,2.37,TH,1611843122
Peniche,39.3558,-9.3811,59.0,95,100,1.99,PT,1611843123
Juneau,58.3019,-134.4197,10.4,79,20,6.29,US,1611843123
Lata,40.1629,-8.3327,68.0,65,100,3.76,PT,1611843123
Gravdal,68.1214,13.5031,26.6,63,20,10.36,NO,1611843123
Carnarvon,-24.8667,113.6333,77.0,73,0,21.85,AU,1611843123
Rawson,-43.3002,-65.1023,66.27,32,0,21.61,AR,1611843124
Abu Dhabi,24.4667,54.3667,73.4,60,0,6.91,AE,1611842894
Hadsund,56.7148,10.1168,30.99,83,34,1.99,DK,1611843124
Kudahuvadhoo,2.6708,72.8944,80.85,72,37,11.16,MV,1611843124
Noyabrsk,63.1994,75.4507,-20.34,88,100,15.7,RU,1611843124
Kimbe,-5.5502,150.1429,78.17,88,100,4.05,PG,1611843125
Kupang,-10.1667,123.5833,80.1,82,100,11.3,ID,1611843125
Tual,-5.6667,132.75,83.71,76,100,8.84,ID,1611843125
Cayenne,4.9333,-52.3333,82.4,69,75,10.36,GF,1611843125
Kahului,20.8947,-156.47,71.6,60,1,13.8,US,1611843125
Hobbs,32.7026,-103.136,30.0,86,1,6.91,US,1611843125
Ahipara,-35.1667,173.1667,62.24,79,100,14.23,NZ,1611843126
Salalah,17.0151,54.0924,77.0,53,1,5.75,OM,1611843126
Rosarito,32.3333,-117.0333,48.0,70,1,4.61,MX,1611842997
Kavaratti,10.5669,72.642,80.64,73,100,11.23,IN,1611843126
Chabahar,25.2919,60.643,70.3,48,0,10.69,IR,1611843126
Camacha,33.0833,-16.3333,64.4,88,40,8.05,PT,1611843126
Saint George,37.1041,-113.5841,39.99,56,20,5.03,US,1611843127
Chui,-33.6971,-53.4616,78.93,46,40,4.07,UY,1611843127
Mayo,38.8876,-76.5119,30.2,59,20,16.11,US,1611843127
Ilorin,8.5,4.55,99.43,17,0,2.59,NG,1611843127
Lusambo,-4.9667,23.45,74.62,69,100,6.42,CD,1611843127
Oxford,51.7522,-1.256,53.6,82,40,13.8,GB,1611842935
Ostrovnoy,68.0531,39.5131,2.98,91,70,11.54,RU,1611843128
Córdoba,-31.4135,-64.1811,80.6,61,20,19.57,AR,1611843128
Rapid Valley,44.0625,-103.1463,28.0,73,1,2.98,US,1611843128
Port Alfred,-33.5906,26.891,72.0,78,9,11.77,ZA,1611843128
Hammerfest,70.6634,23.6821,21.2,68,75,13.8,NO,1611843129
Wuda,39.4994,106.7117,23.72,73,0,4.54,CN,1611843129
Kupino,54.3663,77.2981,19.98,97,100,15.23,RU,1611843129
Iqaluit,63.7506,-68.5145,-11.2,70,1,40.29,CA,1611843129
Vardø,70.3705,31.1107,26.6,59,75,24.16,NO,1611843129
Tarpon Springs,28.1461,-82.7568,57.99,72,0,1.01,US,1611843129
Port Moresby,-9.4431,147.1797,77.0,94,75,8.05,PG,1611843130
Flinders,-34.5833,150.8552,69.01,80,100,4.0,AU,1611843130
Erzincan Province,39.75,39.5,42.8,61,90,14.97,TR,1611842970
Orán,-23.1322,-64.326,88.88,44,0,0.94,AR,1611843130
Nyrob,60.733,56.7202,25.16,97,100,7.74,RU,1611843130
Dudinka,69.4058,86.1778,-35.91,77,0,3.33,RU,1611843131
Palpa,-14.5336,-75.1856,77.58,50,9,5.01,PE,1611843131
Maceió,-9.6658,-35.7353,77.0,83,75,11.5,BR,1611842852
Kiryat Gat,31.61,34.7642,57.99,43,99,13.13,IL,1611842942
Dali,25.7,100.1833,45.95,55,0,4.54,CN,1611843131
Los Llanos de Aridane,28.6585,-17.9182,69.8,73,0,4.61,ES,1611843131
La Rioja,42.25,-2.5,64.4,63,0,12.66,ES,1611843132
Vilhena,-12.7406,-60.1458,75.2,88,75,4.61,BR,1611842910
Hualmay,-11.0964,-77.6139,73.85,67,37,6.96,PE,1611843132
Portland,45.5234,-122.6762,41.0,87,90,5.75,US,1611842528
Pisco,-13.7,-76.2167,75.2,73,0,4.61,PE,1611842948
Yulara,-25.2406,130.9889,87.8,45,88,11.5,AU,1611843132
Oga,46.4631,10.347,48.99,93,75,8.05,IT,1611843133
Saint Anthony,45.0205,-93.218,10.4,56,90,4.61,US,1611843133
Santo Tomas,14.1079,121.1414,78.8,73,75,6.91,PH,1611843133
Riyadh,24.6877,46.7219,77.0,18,0,14.97,SA,1611842967
Colares,38.7992,-9.4469,60.01,94,90,5.75,PT,1611843133
Tessalit,20.1986,1.0114,86.83,11,0,17.09,ML,1611843133
Anadyr,64.75,177.4833,6.8,78,75,6.71,RU,1611843134
Urengoy,65.9667,78.3667,-34.13,80,100,12.12,RU,1611843134
Bambous Virieux,-20.3428,57.7575,82.4,69,40,10.36,MU,1611843134
