City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fort Nelson,58.8053,-122.7002,-23.8,76,20,3.44,CA,1611843134
Inta,66.0317,60.1659,-9.22,91,100,11.99,RU,1611843134
Tambopata,-12.7333,-69.1833,80.6,83,75,8.05,PE,1611843135
Lakes Entrance,-37.8811,147.981,62.01,82,24,5.99,AU,1611843135
Aberdeen,57.1437,-2.0981,39.2,87,90,9.22,GB,1611843125
Henties Bay,-22.116,14.2845,71.01,77,3,10.31,NA,1611843135
Te Anau,-45.4167,167.7167,40.01,87,79,1.36,NZ,1611843136
Sakaiminato,35.55,133.2333,37.4,75,75,29.93,JP,1611843136
Clyde River,70.4692,-68.5914,-18.4,76,1,3.44,CA,1611843136
Wattegama,6.7989,81.4808,80.6,89,90,3.44,LK,1611843136
La Ronge,55.1001,-105.2842,-0.4,78,100,6.91,CA,1611843136
Leh,34.1667,77.5833,5.56,61,85,0.96,IN,1611843136
Havre-St-Pierre,50.2334,-63.5986,10.4,67,1,6.91,CA,1611843137
Nioro,13.35,-15.75,100.08,7,96,9.8,GM,1611843137
Kibala,9.1104,18.3463,100.4,10,0,9.22,TD,1611843137
Warrington,53.3925,-2.5802,52.0,82,20,10.36,GB,1611843137
Kazachinskoye,57.6953,93.2761,-31.29,82,100,1.68,RU,1611843138
Kachīry,53.0675,76.1036,22.32,96,100,13.98,KZ,1611843138
Volchanets,42.9131,132.7469,15.84,90,100,20.04,RU,1611843138
Xining,36.6167,101.7667,17.53,67,0,2.26,CN,1611843138
Dawlatabad,36.4141,64.9053,45.75,54,0,6.67,AF,1611843138
Mogadishu,2.0371,45.3438,82.4,61,20,20.71,SO,1611843138
Canmore,51.0834,-115.3521,14.0,85,95,1.14,CA,1611843139
Kinablangan,7.6947,126.5503,77.74,86,98,8.48,PH,1611843139
Port Augusta,-32.5,137.7667,73.0,83,90,12.66,AU,1611843139
Mopipi,-21.1833,24.8833,88.38,41,79,5.84,BW,1611843139
Bilibino,68.0546,166.4372,-16.82,82,100,7.67,RU,1611843140
Iskateley,67.6803,53.1512,-25.02,85,0,11.43,RU,1611843140
Armidale,-30.5167,151.65,57.99,84,24,1.99,AU,1611843140
Padang,-0.9492,100.3543,80.6,78,75,5.75,ID,1611843140
Khovd,48.0056,91.6419,4.86,84,0,1.81,MN,1611843140
Beidao,34.5686,105.8933,34.68,72,0,3.94,CN,1611843140
Acaraú,-2.8856,-40.12,86.52,61,100,14.63,BR,1611843141
Abhā,18.2164,42.5053,73.4,42,20,6.91,SA,1611843141
Adré,13.4667,22.2,91.76,11,0,8.68,TD,1611843141
Greenville,35.6127,-77.3663,32.0,93,90,9.22,US,1611843141
Acapulco de Juárez,16.8634,-99.8901,73.4,73,75,5.19,MX,1611843141
Marion,39.7684,-86.1555,24.01,86,40,6.91,US,1611843069
Mudgee,-32.5943,149.5871,66.99,72,90,12.66,AU,1611843142
Zhuhai,22.2769,113.5678,66.2,59,0,13.8,CN,1611843142
Satuk,41.2263,32.3836,33.49,90,100,2.93,TR,1611843142
Grindavik,63.8424,-22.4338,28.4,80,0,5.75,IS,1611843142
Akdepe,42.0551,59.3788,44.6,49,0,11.5,TM,1611843142
Salisbury,51.0693,-1.7957,55.4,87,75,10.36,GB,1611843143
Obihiro,42.9172,143.2044,16.74,94,100,1.12,JP,1611843143
Port Hedland,-20.3167,118.5667,84.2,79,0,10.36,AU,1611842899
Bilma,18.6853,12.9164,81.91,13,0,7.36,NE,1611843143
Kushikino,31.7167,130.2667,44.31,73,97,27.27,JP,1611843144
Husavik,66.0449,-17.3389,-0.4,85,0,8.05,IS,1611843144
Sitka,57.0531,-135.33,24.8,74,1,3.02,US,1611843144
Mosquera,4.7059,-74.2302,55.4,82,20,2.3,CO,1611843144
Sayyan,15.1718,44.3244,66.69,23,2,4.12,YE,1611843144
Andenes,69.3143,16.1194,25.0,63,0,18.41,NO,1611843144
Agadez,19.75,10.25,75.74,19,0,13.65,NE,1611843145
Lexington,37.9887,-84.4777,19.99,93,1,5.75,US,1611843123
Pemangkat,1.1667,108.9667,76.69,81,100,8.59,ID,1611843145
Bjørnevatn,69.6672,29.9847,14.0,73,0,12.66,NO,1611843145
Hard,47.4941,9.6806,48.2,81,75,9.22,AT,1611843145
Hamilton,39.1834,-84.5333,24.01,79,75,8.05,US,1611843145
Santa Fe,-31.6333,-60.7,89.01,50,13,4.0,AR,1611842990
Bengkulu,-3.8004,102.2655,76.59,91,100,15.41,ID,1611843146
Katsuura,35.1333,140.3,41.0,87,75,5.75,JP,1611843146
Derzhavīnsk,51.1,66.3167,18.45,92,0,6.76,KZ,1611843146
Aksu,41.1231,80.2644,22.26,81,0,2.28,CN,1611843146
Basco,20.4487,121.9702,71.96,79,94,25.84,PH,1611843147
Gayéri,12.6497,0.4931,96.55,8,0,11.45,BF,1611843147
Kyzyl-Suu,42.3414,78.0056,21.29,75,0,7.56,KG,1611843147
Olafsvik,64.8945,-23.7142,29.88,87,13,3.94,IS,1611843147
Zapolyarnyy,69.4154,30.8136,14.0,73,0,12.66,RU,1611843147
Aldan,58.6031,125.3894,-41.3,79,100,0.65,RU,1611843148
Coyhaique,-45.5752,-72.0662,51.8,54,75,8.05,CL,1611843148
Charlottetown,46.2352,-63.1267,26.01,93,90,4.61,CA,1611843148
Gbarnga,6.9956,-9.4722,97.72,27,1,3.18,LR,1611843148
Sulangan,11.1373,123.7228,80.06,79,69,26.6,PH,1611843148
Olinda,-8.0089,-34.8553,84.2,58,40,10.36,BR,1611843148
Manaure,11.7751,-72.4445,80.85,66,80,19.62,CO,1611843148
Alice Springs,-23.7,133.8833,87.8,51,90,11.03,AU,1611842883
Avera,33.194,-82.5271,41.0,65,1,12.66,US,1611843149
Lukovetskiy,64.2956,41.9211,12.2,79,90,11.18,RU,1611843149
Nuuk,64.1835,-51.7216,28.4,54,20,2.3,GL,1611843149
Turaif,31.6725,38.6637,59.0,51,40,11.5,SA,1611843149
Toamasina,-18.1667,49.3833,87.8,79,40,9.22,MG,1611843150
Forestville,38.8451,-76.875,30.2,50,1,23.02,US,1611843150
Guerrero Negro,27.9769,-114.0611,54.68,64,98,5.55,MX,1611843150
Coquimbo,-29.9533,-71.3436,60.8,88,90,11.5,CL,1611843006
Rio Brilhante,-21.8019,-54.5464,75.52,82,98,9.08,BR,1611843150
Monte Carmelo,-18.7247,-47.4986,77.18,59,100,9.26,BR,1611843036
Gornozavodsk,58.3758,58.3211,22.21,97,100,10.76,RU,1611843151
Tongliao,43.6125,122.2653,-11.81,83,0,9.53,CN,1611843151
Marawi,7.9986,124.2928,73.0,95,52,5.01,PH,1611843151
Jumla,29.2747,82.1838,32.76,65,0,5.84,NP,1611843151
Villa María,-32.4075,-63.2402,88.5,29,5,6.02,AR,1611843133
Cockburn Town,21.4612,-71.1419,78.8,65,40,5.75,TC,1611843152
Lagoa,39.05,-27.9833,60.69,87,45,18.88,PT,1611843152
Schleswig,54.5167,9.55,33.01,74,75,8.05,DE,1611843152
Sant Feliu de Guíxols,41.7833,3.0333,62.01,87,100,4.92,ES,1611843152
Moroni,-11.7022,43.2551,82.67,65,7,5.5,KM,1611843152
Bānki,20.3833,85.5333,75.2,60,0,3.44,IN,1611843153
Raton,36.9034,-104.4391,19.99,67,1,8.05,US,1611843153
Coos Bay,43.3665,-124.2179,41.0,99,100,4.99,US,1611843153
Mednogorsk,51.4128,57.595,12.13,94,26,7.65,RU,1611843081
Kargasok,59.0556,80.8572,-9.98,90,100,12.75,RU,1611843153
Isabela,6.7085,121.9711,77.94,83,90,3.89,PH,1611843154
Abengourou,6.7297,-3.4964,99.79,30,8,1.01,CI,1611843064
Barabai,-2.5833,115.3833,75.54,92,100,0.22,ID,1611843137
Mimongo,-1.6195,11.6068,80.56,79,85,3.22,GA,1611843154
Al Bardīyah,31.7561,25.0865,55.89,73,100,30.76,LY,1611843154
Wagar,16.1525,36.2032,97.05,13,66,12.97,SD,1611843155
Lhokseumawe,5.1801,97.1507,78.67,83,22,3.31,ID,1611843155
Őrbottyán,47.6871,19.2824,39.99,70,75,6.91,HU,1611843155
Karaman Province,37.0833,33.25,36.09,73,99,12.44,TR,1611843155
Nefteyugansk,61.0998,72.6035,-5.8,84,90,6.71,RU,1611842951
Jinchang,38.4953,102.1739,25.47,68,0,2.3,CN,1611843023
San Cristobal,7.7669,-72.225,78.8,73,40,4.61,VE,1611842955
Boguchar,49.9358,40.545,33.73,92,100,8.79,RU,1611843156
Magadan,59.5667,150.8,-17.03,79,0,9.24,RU,1611843156
Crateús,-5.1783,-40.6775,89.89,44,76,6.33,BR,1611843156
Launceston,-41.45,147.1667,50.0,76,32,5.75,AU,1611843106
Moerai,-22.4333,-151.3333,80.44,75,100,15.66,PF,1611843156
Sangar,63.9242,127.4739,-54.09,70,49,1.25,RU,1611843156
Santa Isabel Rio Negro,-0.4139,-65.0192,83.25,72,24,4.94,BR,1611843157
Kieta,-6.2167,155.6333,81.41,82,99,12.06,PG,1611843157
Bahía Blanca,-38.7196,-62.2724,76.06,23,8,8.39,AR,1611843157
Ukiah,39.1502,-123.2078,44.6,93,90,2.24,US,1611843157
Karratha,-20.7377,116.8463,87.51,48,0,11.86,AU,1611843157
Mushie,-3.0167,16.9,90.91,50,39,0.78,CD,1611843158
Shingū,33.7333,135.9833,47.12,76,6,8.66,JP,1611843158
Capreol,46.706,-80.9225,-4.0,71,20,4.61,CA,1611843158
Khandyga,62.6667,135.6,-53.77,72,87,0.2,RU,1611843158
Songea,-10.6833,35.65,76.39,82,81,3.98,TZ,1611843158
Alushta,44.6667,34.4167,39.15,73,73,20.67,UA,1611843069
Aksarayskiy,46.7924,48.0119,41.0,60,75,11.18,RU,1611843159
Conceição da Barra,-18.5933,-39.7322,87.6,50,31,7.23,BR,1611843159
Lamar,33.6668,-95.5836,27.0,93,1,5.75,US,1611843159
Lambaré,-25.3468,-57.6065,86.0,74,75,11.5,PY,1611843159
Carbonia,39.1672,8.5222,64.4,63,40,13.8,IT,1611843159
Palauig,15.435,119.9045,77.95,79,82,5.5,PH,1611843160
Parabel',58.6978,81.4825,-9.24,90,100,11.39,RU,1611843160
Auki,-8.7676,160.7034,78.85,84,100,8.66,SB,1611843160
Komló,46.1928,18.2649,39.2,60,0,8.05,HU,1611843160
Khargone,21.8167,75.6,72.59,31,0,5.1,IN,1611843160
Nantucket,41.2835,-70.0995,36.0,100,90,10.36,US,1611843160
Ghanzi,-21.5667,21.7833,86.9,41,78,11.59,BW,1611843160
Paamiut,61.994,-49.6678,33.64,82,82,2.95,GL,1611843161
Zharkent,44.1628,80.0,17.11,87,0,1.34,KZ,1611843161
Izvestkovyy,48.9833,131.55,-13.25,87,100,2.73,RU,1611843161
Chapais,49.7834,-74.8492,-0.4,78,90,11.5,CA,1611843162
Domoni,-12.2569,44.5319,84.45,60,70,2.19,KM,1611843162
Alofi,-19.0595,-169.9187,77.0,94,100,6.91,NU,1611843162
Pacific Grove,36.6177,-121.9166,52.0,93,75,20.38,US,1611843162
Nemuro,43.3236,145.575,26.98,91,100,16.51,JP,1611843162
Kisangani,0.5167,25.2,75.2,83,75,6.91,CD,1611843162
Balabac,7.9868,117.0645,80.73,82,29,11.3,PH,1611843163
San Patricio,28.017,-97.5169,46.4,66,1,6.91,US,1611843163
Ţahţā,26.7693,31.5021,68.0,37,0,14.97,EG,1611843163
Sarangani,5.4033,125.4636,81.84,73,70,9.66,PH,1611843163
Aitape,-3.1374,142.3475,78.76,83,100,4.27,PG,1611843163
Gunjur,13.2019,-16.7339,95.0,18,37,10.36,GM,1611843164
Skibbereen,51.55,-9.2667,51.8,93,75,21.85,IE,1611843164
Vanderhoof,54.0166,-124.0198,-10.07,88,57,0.16,CA,1611843164
Boralday,43.3578,76.8594,19.4,79,0,4.47,KZ,1611843164
Chilca,-12.5211,-76.7372,71.01,83,0,5.75,PE,1611843164
Lüderitz,-26.6481,15.1594,75.6,48,0,32.12,NA,1611843165
Price,39.5994,-110.8107,24.8,86,90,0.45,US,1611843015
Kampong Thom,12.7111,104.8887,81.43,56,77,6.31,KH,1611843165
Nome,64.5011,-165.4064,15.8,57,90,8.05,US,1611843165
Cuiluan,47.72,128.648,-12.5,88,100,3.38,CN,1611843165
Reshetikha,56.2189,43.2936,32.0,93,90,6.71,RU,1611843165
Bloemfontein,-29.1211,26.214,75.2,64,75,8.05,ZA,1611843166
Srednebelaya,50.6594,128.0106,-23.8,76,0,4.47,RU,1611843166
Weligama,5.9667,80.4167,78.21,81,100,5.39,LK,1611842953
Conde,-7.2597,-34.9075,87.8,58,75,12.66,BR,1611843141
Natá,8.3333,-80.5167,86.0,58,0,3.44,PA,1611843166
Kaliua,-5.0606,31.7936,82.81,56,49,3.8,TZ,1611843167
Kenitra,34.261,-6.5802,64.4,82,0,5.75,MA,1611843167
Margate,51.3813,1.3862,57.0,71,49,4.0,GB,1611843167
Ntoum,0.3833,9.7833,86.0,74,20,6.91,GA,1611843167
Xam Nua,20.4197,104.0439,57.25,91,72,3.02,LA,1611843168
Bariloche,-41.1456,-71.3082,60.01,58,75,12.66,AR,1611843104
Örnsköldsvik,63.2909,18.7153,15.8,100,90,5.75,SE,1611843168
Sistranda,63.7256,8.834,28.4,74,40,21.85,NO,1611843168
Kirakira,-10.4544,161.9205,81.32,82,100,14.0,SB,1611843168
Wajima,37.4,136.9,44.6,89,68,35.5,JP,1611843169
George,-33.963,22.4617,73.4,49,0,10.36,ZA,1611843169
Tacuarembó,-31.7333,-55.9833,82.08,51,61,5.68,UY,1611843169
Mēga,4.05,38.3,80.35,24,92,14.61,ET,1611843169
Atambua,-9.1061,124.8925,74.57,90,100,4.25,ID,1611843169
Jizan,17.3333,42.6667,82.4,65,20,17.27,SA,1611843002
Chaska,44.7894,-93.6022,9.0,61,75,6.91,US,1611842895
Lima,-12.0432,-77.0282,71.01,83,0,5.75,PE,1611842644
Alta Floresta,-9.8756,-56.0861,77.0,94,75,4.61,BR,1611843170
Taksimo,56.3444,114.8794,-33.12,76,48,1.32,RU,1611843170
Brigham City,41.5102,-112.0155,39.2,56,90,6.44,US,1611843170
Batagay-Alyta,67.8006,130.4114,-37.93,81,94,2.51,RU,1611843171
Northam,51.0333,-4.2167,52.0,96,100,11.01,GB,1611843171
Esik,43.3552,77.4525,19.4,79,1,4.47,KZ,1611843171
Nemyriv,48.9708,28.8378,30.0,86,90,17.9,UA,1611843171
Abdulino,53.7,53.6667,16.12,95,100,12.26,RU,1611843171
Anderson,34.5334,-82.6499,41.0,56,1,9.22,US,1611842883
Sittwe,20.15,92.9,69.53,74,0,10.56,MM,1611843172
Taoudenni,22.6783,-3.9836,84.13,15,0,15.21,ML,1611843172
Mahur,25.1667,93.1167,55.35,71,0,1.48,IN,1611843172
Koumac,-20.5667,164.2833,78.67,81,66,3.13,NC,1611843172
Mount Isa,-20.7333,139.5,82.4,57,27,7.43,AU,1611843172
Laguna,38.421,-121.4238,48.99,93,90,13.8,US,1611843172
Iwanai,42.9744,140.5089,23.76,92,100,9.8,JP,1611843173
Namatanai,-3.6667,152.4333,80.53,81,100,5.7,PG,1611843173
Camiri,-20.05,-63.5167,87.66,41,69,4.72,BO,1611843173
Andros Town,24.7,-77.7667,75.2,88,40,8.05,BS,1611843013
Poplar Bluff,36.757,-90.3929,28.4,69,90,8.05,US,1611843018
Anito,12.4497,125.2886,76.42,83,100,12.5,PH,1611843173
Mitsamiouli,-11.3847,43.2844,84.24,61,1,5.44,KM,1611843173
Vung Tau,10.346,107.0843,76.86,76,100,22.48,VN,1611843174
Seydi,39.4816,62.9137,46.69,50,0,10.36,TM,1611843174
Laas,46.6166,10.7002,39.2,100,90,5.75,IT,1611843174
Constitución,-35.3333,-72.4167,65.59,55,100,6.8,CL,1611843174
Vao,-22.6667,167.4833,77.04,85,81,23.51,NC,1611843174
Wala,4.578,12.3154,90.81,35,100,4.0,CM,1611843175
Talnakh,69.4865,88.3972,-31.9,76,0,7.29,RU,1611843175
Watertown,42.3709,-71.1828,30.99,93,90,6.91,US,1611843057
Badnāwar,23.0167,75.2167,62.6,51,0,3.44,IN,1611843175
San Jorge,-31.8962,-61.8598,93.76,26,0,8.88,AR,1611843175
Nouadhibou,20.931,-17.0347,80.6,29,0,8.05,MR,1611843176
Grand Gaube,-20.0064,57.6608,82.0,71,26,5.01,MU,1611843176
Monterrey,25.6667,-100.3167,51.01,53,20,6.91,MX,1611842945
Trairi,-3.2778,-39.2689,88.25,55,100,12.44,BR,1611843176
Rio Grande,-32.035,-52.0986,82.4,54,75,6.91,BR,1611843176
Saint-Augustin,51.226,-58.6502,14.49,92,14,10.6,CA,1611843176
Zyryanka,65.75,150.85,-24.77,85,100,9.42,RU,1611843176
Demba,-5.51,22.2667,86.41,50,100,1.79,CD,1611843177
Mandalgovi,45.7625,106.2708,8.6,88,0,9.91,MN,1611843177
St. Pete Beach,27.7253,-82.7412,59.0,72,1,14.97,US,1611843177
Manavālakurichi,8.1333,77.3,84.2,51,20,3.4,IN,1611843177
Salinópolis,-0.6136,-47.3561,84.43,67,100,6.29,BR,1611843177
Pauini,-7.7136,-66.9764,77.59,91,100,1.21,BR,1611843177
Doha,25.2867,51.5333,75.2,68,0,6.91,QA,1611843178
San Jose,37.3394,-121.895,50.0,87,90,10.36,US,1611843043
Tautira,-17.7333,-149.15,77.0,73,40,5.75,PF,1611843178
Les Herbiers,46.8667,-1.0167,55.0,100,90,14.97,FR,1611843178
Les Cayes,18.2,-73.75,77.86,67,0,2.82,HT,1611843178
Birjand,32.8663,59.2211,55.4,8,0,11.5,IR,1611843178
Alghero,40.5589,8.3181,62.6,77,0,6.91,IT,1611843179
Corralillo,22.9819,-80.5856,76.35,70,0,7.56,CU,1611843179
Blythe,33.6103,-114.5964,44.6,76,1,5.26,US,1611843179
Riohacha,11.5444,-72.9072,79.32,73,86,15.41,CO,1611843044
Sémbé,1.6481,14.5806,92.05,39,45,2.01,CG,1611843179
Río Gallegos,-51.6226,-69.2181,50.0,62,75,26.46,AR,1611843180
Beroroha,-21.6667,45.1667,91.26,51,96,5.61,MG,1611843180
Kresna,41.7333,23.15,37.0,60,32,8.16,BG,1611843180
Puerto Carreño,6.189,-67.4859,83.19,55,100,15.75,CO,1611843180
Noumea,-22.2763,166.4572,81.0,88,0,4.61,NC,1611843180
Casablanca,33.5928,-7.6192,69.8,77,0,9.22,MA,1611842986
The Valley,18.217,-63.0578,80.6,57,20,13.8,AI,1611843180
Mezen',65.8522,44.24,-7.53,89,22,7.07,RU,1611843181
Ongandjera,-17.8833,15.0667,86.31,39,74,5.35,NA,1611843181
Roald,62.5833,6.1333,33.8,69,20,17.27,NO,1611843181
Marquard,-28.6645,27.4305,69.8,64,71,16.24,ZA,1611843181
Chesma,53.8111,60.6533,14.5,94,20,11.25,RU,1611843181
Port Hardy,50.6996,-127.4199,41.0,100,75,3.44,CA,1611843181
Nyagan,62.1406,65.3936,6.28,95,100,4.7,RU,1611843182
Nortelândia,-14.4547,-56.8028,78.8,73,90,3.65,BR,1611843182
Morón,-34.6534,-58.6198,69.8,88,75,8.05,AR,1611842978
Wheeling,42.1392,-87.929,10.99,72,1,6.91,US,1611843023
Benjamín Aceval,-24.9667,-57.5667,86.0,74,75,11.5,PY,1611843182
Progreso,21.2833,-89.6667,75.2,94,90,3.18,MX,1611843183
Pozoblanco,38.3791,-4.8483,64.4,77,0,8.05,ES,1611843183
Moindou,-21.6924,165.677,75.2,88,0,4.61,NC,1611843183
Okha,53.5739,142.9478,3.31,94,100,5.44,RU,1611843183
Adrar,20.5022,-10.0711,82.0,16,0,15.48,MR,1611843183
Port Blair,11.6667,92.75,80.11,81,0,9.98,IN,1611843184
Kenai,60.5544,-151.2583,21.0,86,90,16.11,US,1611843184
Pangoa,-12.1167,-73.0,73.0,88,96,1.07,PE,1611843184
Shatrovo,56.5167,64.6333,23.07,95,100,14.99,RU,1611843184
Palmer,42.1584,-72.3287,28.99,74,90,9.22,US,1611843185
Kindia,10.0569,-12.8658,94.24,14,1,7.09,GN,1611843185
Leshukonskoye,64.8989,45.7622,-0.87,92,90,6.87,RU,1611843185
Chumikan,54.7183,135.315,-11.34,87,100,10.18,RU,1611843185
Zhigansk,66.7697,123.3711,-52.24,76,74,4.9,RU,1611843185
Kumul,42.8,93.45,21.99,81,0,3.6,CN,1611843185
Faya,18.3851,42.4509,73.4,42,20,6.91,SA,1611843186
Norrtälje,59.758,18.705,32.0,100,90,9.22,SE,1611843186
San Miguel,13.4833,-88.1833,82.4,83,0,2.3,SV,1611843186
Port Macquarie,-31.4333,152.9167,71.6,94,75,5.75,AU,1611843187
Xucheng,20.35,110.1288,64.4,94,4,6.71,CN,1611843187
Qinggang,46.6833,126.0833,-20.15,85,0,6.35,CN,1611843187
Ascension,30.2169,-90.9001,41.0,75,1,9.22,US,1611843187
Murshidābād,24.1833,88.2667,62.56,31,0,4.79,IN,1611843187
Vostok,46.4856,135.8833,-3.91,91,100,3.76,RU,1611843188
Biak,-0.9131,122.8766,78.69,74,41,7.31,ID,1611843188
Hulan Ergi,47.2042,123.6333,-11.88,79,0,8.59,CN,1611843188
Srednekolymsk,67.45,153.6833,-18.87,88,100,6.55,RU,1611843188
Polokwane,-23.9045,29.4688,71.6,83,40,4.61,ZA,1611843188
